Club,Year,SHTS,SOG,SOG%
Atlanta United FC,2017,362,155,42.81767955801105
Atlanta United FC,2018,471,200,42.462845010615716
Atlanta United FC,2019,413,140,33.89830508474576
Chicago Fire,2000,692,324,46.82080924855491
Chicago Fire,2004,381,150,39.37007874015748
Chicago Fire,2005,438,204,46.57534246575342
Chicago Fire,2006,414,185,44.68599033816425
Chicago Fire,2007,362,184,50.82872928176796
Chicago Fire,2008,410,204,49.75609756097561
Chicago Fire,2009,408,173,42.40196078431372
Chicago Fire,2010,345,144,41.73913043478261
Chicago Fire,2011,528,196,37.121212121212125
Chicago Fire,2012,555,198,35.67567567567568
Chicago Fire,2013,526,192,36.50190114068441
Chicago Fire,2014,466,159,34.12017167381974
Chicago Fire,2015,446,148,33.18385650224215
Chicago Fire,2016,445,146,32.80898876404494
Chicago Fire,2017,446,172,38.56502242152467
Chicago Fire,2018,412,156,37.86407766990291
Chicago Fire,2019,467,161,34.475374732334046
Chivas USA,2005,355,138,38.87323943661972
Chivas USA,2006,326,154,47.239263803680984
Chivas USA,2007,361,170,47.091412742382275
Chivas USA,2008,304,133,43.75
Chivas USA,2009,308,135,43.83116883116883
Chivas USA,2010,353,137,38.81019830028329
Chivas USA,2011,443,152,34.31151241534989
Chivas USA,2012,326,97,29.754601226993866
Chivas USA,2013,300,105,35.0
Chivas USA,2014,367,119,32.42506811989101
Colorado Rapids,1996,435,201,46.206896551724135
Colorado Rapids,1997,558,257,46.0573476702509
Colorado Rapids,2000,431,167,38.74709976798144
Colorado Rapids,2004,381,157,41.20734908136483
Colorado Rapids,2005,436,184,42.201834862385326
Colorado Rapids,2006,419,170,40.572792362768496
Colorado Rapids,2007,359,128,35.65459610027855
Colorado Rapids,2008,495,200,40.4040404040404
Colorado Rapids,2009,411,163,39.65936739659367
Colorado Rapids,2010,509,200,39.29273084479371
Colorado Rapids,2011,474,170,35.86497890295359
Colorado Rapids,2012,574,199,34.66898954703833
Colorado Rapids,2013,508,151,29.7244094488189
Colorado Rapids,2014,454,147,32.378854625550666
Colorado Rapids,2015,566,193,34.09893992932862
Colorado Rapids,2016,628,199,31.687898089171973
Colorado Rapids,2017,478,159,33.26359832635983
Colorado Rapids,2018,544,183,33.63970588235294
Colorado Rapids,2019,537,196,36.49906890130354
Columbus Crew,1996,456,223,48.90350877192983
Columbus Crew,1997,536,211,39.365671641791046
Columbus Crew,2000,432,186,43.05555555555556
Columbus Crew,2004,356,156,43.82022471910113
Columbus Crew,2005,458,164,35.80786026200873
Columbus Crew,2006,371,153,41.23989218328841
Columbus Crew,2007,411,196,47.688564476885645
Columbus Crew,2008,435,178,40.91954022988506
Columbus Crew,2009,378,155,41.00529100529101
Columbus Crew,2010,392,145,36.98979591836735
Columbus Crew,2011,488,162,33.19672131147541
Columbus Crew,2012,454,145,31.938325991189426
Columbus Crew,2013,518,165,31.85328185328185
Columbus Crew,2014,475,168,35.368421052631575
Columbus Crew,2015,371,129,34.77088948787062
Columbus Crew,2016,335,125,37.3134328358209
Columbus Crew,2017,325,99,30.461538461538463
Columbus Crew,2018,486,157,32.30452674897119
Columbus Crew,2019,371,119,32.075471698113205
D.C. United,1996,520,267,51.34615384615384
D.C. United,1997,485,256,52.78350515463918
D.C. United,2000,488,223,45.69672131147541
D.C. United,2004,411,211,51.338199513382
D.C. United,2005,419,203,48.44868735083532
D.C. United,2006,431,213,49.419953596287705
D.C. United,2007,376,197,52.3936170212766
D.C. United,2008,360,156,43.333333333333336
D.C. United,2009,338,150,44.37869822485207
D.C. United,2010,296,120,40.54054054054054
D.C. United,2011,389,139,35.732647814910024
D.C. United,2012,573,200,34.904013961605585
D.C. United,2013,519,174,33.52601156069364
D.C. United,2014,429,152,35.43123543123543
D.C. United,2015,547,193,35.283363802559414
D.C. United,2016,643,226,35.14774494556765
D.C. United,2017,702,263,37.464387464387464
D.C. United,2018,624,230,36.858974358974365
D.C. United,2019,559,172,30.76923076923077
FC Cincinnati,2019,380,121,31.842105263157894
FC Dallas,1996,433,238,54.96535796766744
FC Dallas,1997,474,245,51.68776371308017
FC Dallas,2000,420,207,49.28571428571429
FC Dallas,2004,407,160,39.31203931203931
FC Dallas,2005,496,211,42.54032258064516
FC Dallas,2006,408,174,42.64705882352941
FC Dallas,2007,308,140,45.45454545454545
FC Dallas,2008,419,195,46.53937947494033
FC Dallas,2009,288,124,43.05555555555556
FC Dallas,2010,345,131,37.971014492753625
FC Dallas,2011,515,156,30.29126213592233
FC Dallas,2012,387,127,32.81653746770026
FC Dallas,2013,419,149,35.56085918854415
FC Dallas,2014,350,120,34.285714285714285
FC Dallas,2015,371,136,36.65768194070081
FC Dallas,2016,244,92,37.704918032786885
FC Dallas,2017,305,111,36.39344262295082
FC Dallas,2018,373,149,39.946380697050934
FC Dallas,2019,507,179,35.30571992110454
Houston Dynamo,2006,390,178,45.64102564102564
Houston Dynamo,2007,389,164,42.159383033419026
Houston Dynamo,2008,370,154,41.62162162162162
Houston Dynamo,2009,309,134,43.36569579288026
Houston Dynamo,2010,304,112,36.84210526315789
Houston Dynamo,2011,462,143,30.952380952380953
Houston Dynamo,2012,402,139,34.57711442786069
Houston Dynamo,2013,419,127,30.310262529832936
Houston Dynamo,2014,374,120,32.0855614973262
Houston Dynamo,2015,353,117,33.14447592067989
Houston Dynamo,2016,473,154,32.55813953488372
Houston Dynamo,2017,623,225,36.11556982343499
Houston Dynamo,2018,575,219,38.08695652173913
Houston Dynamo,2019,534,171,32.02247191011236
LA Galaxy,1996,513,257,50.097465886939574
LA Galaxy,1997,508,244,48.031496062992126
LA Galaxy,2000,656,289,44.05487804878049
LA Galaxy,2004,380,169,44.473684210526315
LA Galaxy,2005,404,184,45.54455445544555
LA Galaxy,2006,309,131,42.394822006472495
LA Galaxy,2007,396,168,42.42424242424242
LA Galaxy,2008,394,179,45.431472081218274
LA Galaxy,2009,392,169,43.11224489795919
LA Galaxy,2010,393,158,40.20356234096692
LA Galaxy,2011,391,136,34.78260869565217
LA Galaxy,2012,527,196,37.19165085388994
LA Galaxy,2013,366,125,34.15300546448087
LA Galaxy,2014,550,196,35.63636363636364
LA Galaxy,2015,441,168,38.095238095238095
LA Galaxy,2016,366,144,39.34426229508197
LA Galaxy,2017,370,113,30.54054054054054
LA Galaxy,2018,384,141,36.71875
LA Galaxy,2019,496,180,36.29032258064516
Los Angeles FC,2018,448,189,42.1875
Los Angeles FC,2019,581,218,37.52151462994836
Minnesota United FC,2017,274,85,31.02189781021898
Minnesota United FC,2018,263,88,33.460076045627375
Minnesota United FC,2019,363,119,32.78236914600551
Montreal Impact,2012,355,130,36.61971830985916
Montreal Impact,2013,368,148,40.21739130434783
Montreal Impact,2014,420,156,37.142857142857146
Montreal Impact,2015,387,156,40.310077519379846
Montreal Impact,2016,461,177,38.39479392624729
Montreal Impact,2017,540,195,36.11111111111111
Montreal Impact,2018,595,194,32.60504201680672
Montreal Impact,2019,391,126,32.22506393861892
Nashville SC,2016,289,98,33.910034602076124
Nashville SC,2017,289,113,39.10034602076124
Nashville SC,2018,204,67,32.84313725490196
New England Revolution,1996,438,198,45.20547945205479
New England Revolution,1997,498,246,49.39759036144578
New England Revolution,2000,467,218,46.680942184154176
New England Revolution,2004,400,195,48.75
New England Revolution,2005,445,218,48.98876404494382
New England Revolution,2006,415,187,45.06024096385542
New England Revolution,2007,416,205,49.27884615384615
New England Revolution,2008,317,153,48.26498422712934
New England Revolution,2009,274,124,45.25547445255474
New England Revolution,2010,367,155,42.234332425068125
New England Revolution,2011,498,165,33.13253012048193
New England Revolution,2012,428,166,38.78504672897196
New England Revolution,2013,342,122,35.67251461988304
New England Revolution,2014,424,155,36.556603773584904
New England Revolution,2015,278,116,41.726618705035975
New England Revolution,2016,311,99,31.832797427652732
New England Revolution,2017,290,100,34.48275862068966
New England Revolution,2018,471,174,36.94267515923567
New England Revolution,2019,442,144,32.57918552036199
New York City FC,2015,370,130,35.13513513513514
New York City FC,2016,430,154,35.81395348837209
New York City FC,2017,448,162,36.160714285714285
New York City FC,2018,539,181,33.58070500927644
New York City FC,2019,529,202,38.18525519848771
New York Red Bulls,1996,450,217,48.22222222222222
New York Red Bulls,1997,322,145,45.03105590062112
New York Red Bulls,2000,382,181,47.38219895287958
New York Red Bulls,2004,479,206,43.0062630480167
New York Red Bulls,2005,339,155,45.72271386430678
New York Red Bulls,2006,354,147,41.52542372881356
New York Red Bulls,2007,395,181,45.822784810126585
New York Red Bulls,2008,384,164,42.70833333333333
New York Red Bulls,2009,332,131,39.45783132530121
New York Red Bulls,2010,362,135,37.29281767955801
